,리뷰
0,안양 예술공원-->안양예술공원
1,"안양 예술공원-->갈때마다 새로운 프로그램과,유명한 아티스트들의작품들이 많다.볼거리도많고,빽빽히있는 식당과 카페도굿~이다.산책하기 좋은 둘레길과 흐르는 맑은 물,쓰레기만조심하고 안버리면 발담그고 라면먹는것도 가능하다고한다"
2,안양 예술공원-->어르신도 살방살방 다니기 높지 않은 공원길
3,"안양 예술공원-->안양시내에 이런 쉼터가 잇다는게 행복한 일이다. 주변의 사찰과 산책로가 그리고 주차장도 잘된편이며ㅡ 최근에는 공연도 많이 하고, 전시공간도 충분하다. 당연히 먹걸리도 많아 골라먹는 재미도 쏠쏠하다. 어르신도 살방살방 다니기 높지 않은 공원길과 특히 단풍도 그만이다."
4,부천 활박물관과 궁도장-->다른 박물관과 같이 보기 좋아요
5,"부천 활박물관과 궁도장-->부천종합운동장 옆에 있습니다. 종합운동장에 수석발물관, 자기박물관이 있기 때문에 같이 보면 좋습니다. 활 박물관들은 생각보다 크지 않습니다. 박물관 관람 후 종합운동장이나 원미공원에 들리면 좋습니다"
6,부천 활박물관과 궁도장-->우연히 들른 활 박물관
7,부천 활박물관과 궁도장-->부천에 있는지도 몰랐다가 우연하게 들르게된 활 박물관아담한 전시공간에 각종 활에 대한 자료와 역사등을 기록해 놓고 있어 아일랑 잠시 들르기 좋습니다.
8,부천 활박물관과 궁도장-->아이들의 체험학습
9,부천 활박물관과 궁도장-->부천에는 다양한 박물관이 있는데 종합운동장 근처에 위치해 있고 종합운동장에 있는 다른 박물관과 함께 투어하게되면 좀더 저렴한 가격에 표를 구매할 수 있습니다.여러가지 활들과 이름이 생각이 안나는데 큰 화살통들을 볼 수 있습니다. 아이들 체험학습으로 좋습니다.옆에 국궁장도 있습니다.
10,부천 활박물관과 궁도장-->조금 작다고 해야하나...
11,부천 활박물관과 궁도장-->규모가 좀 작은 편이에요. 진달래 동산 바로 옆에 있어서 박물관 셋트 쿠폰 끊어서 돌아다니면서 간곳인데 활박물관은 좀 어두운 편이구요 그래도 아기자기하게 꾸며 놓기는 했어요. 아이들과 가기에는 금세 끝나버려서 좀 실망할것 같기는 해요.
12,부천 활박물관과 궁도장-->조금은 생소한 부천 활 박물관
13,부천 활박물관과 궁도장-->부천에 생각보다 많은 박물관들이 있더라구요~여기도 그중하나인데 생각보다 소장유물들도 많고!아이들 교육으로도 좋을 것 같아요~~~ 전 인터넷에서 보구 특별 전시기간 맞춰서.. 양궁! 보러 갔는데~~ 정말 많은 종류의 활들이 있더라구요!
14,부천 활박물관과 궁도장-->좋지만 더 기대되는 것
